incident_id,datetime,road_code,road_name,direction,severity,incident_type,weather_related,clearance_minutes,speed_at_accident,volume_at_accident,density_at_accident,time_diff_minutes,hour,day_of_week,is_weekend,is_peak_hour,has_accident
ACC_2020_01559,2020-09-28 14:45:00,0015a,Maribor HC,Direction B,Minor,Multi-vehicle accident,No,58,100.0,221,2.21,15.0,14,0,0,0,1
ACC_2020_01543,2020-09-29 13:10:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,60,124.0,211,1.7016129032258065,10.0,13,1,0,0,1
ACC_2020_02015,2020-09-29 16:52:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,43,75.0,353,4.706666666666667,8.0,16,1,0,1,1
ACC_2020_02294,2020-09-30 14:07:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,Yes,46,98.0,365,3.7244897959183674,7.0,14,2,0,0,1
ACC_2020_00531,2020-09-30 16:30:00,0015a,Maribor HC,Direction B,Minor,Side collision,No,25,88.0,208,2.3636363636363638,30.0,16,2,0,1,1
ACC_2020_00825,2020-09-30 17:07:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,50,94.0,286,3.0425531914893615,7.0,17,2,0,1,1
ACC_2020_01161,2020-10-02 22:55:00,0015a,Maribor HC,Direction B,Minor,Single vehicle accident,Yes,22,79.0,290,3.670886075949367,5.0,22,4,0,0,1
ACC_2020_00117,2020-10-03 11:33:00,0015a,Maribor HC,Direction B,Major,Side collision,No,77,110.0,103,0.9363636363636364,27.0,11,5,1,0,1
ACC_2020_00549,2020-10-05 18:17:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,58,112.0,184,1.6428571428571428,17.0,18,0,0,1,1
ACC_2020_01729,2020-10-06 00:32:00,0015a,Maribor HC,Direction B,Minor,Rear-end collision,No,60,121.0,219,1.8099173553719008,28.0,0,1,0,0,1
ACC_2020_00259,2020-10-06 07:33:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,24,111.0,559,5.036036036036036,27.0,7,1,0,1,1
ACC_2020_01878,2020-10-06 07:44:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,25,111.0,223,2.009009009009009,16.0,7,1,0,1,1
ACC_2020_00464,2020-10-06 09:19:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,43,85.0,298,3.5058823529411764,19.0,9,1,0,1,1
ACC_2020_01571,2020-10-08 14:31:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,51,87.0,246,2.8275862068965516,29.0,14,3,0,0,1
ACC_2020_01483,2020-10-09 06:26:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,53,73.0,331,4.534246575342466,26.0,6,4,0,0,1
ACC_2020_00821,2020-10-09 07:32:00,0015a,Maribor HC,Direction B,Minor,Single vehicle accident,No,47,90.0,212,2.3555555555555556,28.0,7,4,0,1,1
ACC_2020_02273,2020-10-09 18:16:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,26,70.0,79,1.1285714285714286,16.0,18,4,0,1,1
ACC_2020_00272,2020-10-10 13:11:00,0015a,Maribor HC,Direction A,Minor,Side collision,Yes,44,121.0,45,0.371900826446281,11.0,13,5,1,0,1
ACC_2020_00127,2020-10-10 14:52:00,0015a,Maribor HC,Both,Major,Multi-vehicle accident,No,81,107.0,151,1.411214953271028,8.0,14,5,1,0,1
ACC_2020_00275,2020-10-11 08:01:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,Yes,55,132.0,430,3.257575757575758,1.0,8,6,1,1,1
ACC_2020_00403,2020-10-12 08:30:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,36,96.0,420,4.375,30.0,8,0,0,1,1
ACC_2020_00288,2020-10-12 14:28:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,49,113.0,156,1.3805309734513274,28.0,14,0,0,0,1
ACC_2020_02413,2020-10-12 18:33:00,0021,Ljubljana Ring,Both,Minor,Side collision,Yes,50,129.0,302,2.3410852713178296,27.0,18,0,0,1,1
ACC_2020_01059,2020-10-13 11:28:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,27,120.0,115,0.9583333333333334,28.0,11,1,0,0,1
ACC_2020_01692,2020-10-14 07:32:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,53,95.0,146,1.5368421052631578,28.0,7,2,0,1,1
ACC_2020_00485,2020-10-15 15:05:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,58,114.0,189,1.6578947368421053,5.0,15,3,0,0,1
ACC_2020_02364,2020-10-17 17:19:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,45,88.0,651,7.3977272727272725,19.0,17,5,1,1,1
ACC_2020_01966,2020-10-19 14:53:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,40,86.0,60,0.6976744186046512,7.0,14,0,0,0,1
ACC_2020_00701,2020-10-20 13:02:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,50,114.0,336,2.9473684210526314,2.0,13,1,0,0,1
ACC_2020_00303,2020-10-20 16:34:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,22,94.0,540,5.74468085106383,26.0,16,1,0,1,1
ACC_2020_02302,2020-10-21 07:44:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,23,95.0,350,3.6842105263157894,16.0,7,2,0,1,1
ACC_2020_01760,2020-10-21 14:45:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,20,98.0,134,1.3673469387755102,15.0,14,2,0,0,1
ACC_2020_02150,2020-10-21 15:50:00,0015a,Maribor HC,Both,Minor,Single vehicle accident,No,28,95.0,262,2.7578947368421054,10.0,15,2,0,0,1
ACC_2020_00068,2020-10-21 17:25:00,0015a,Maribor HC,Both,Major,Multi-vehicle accident,Yes,72,113.0,475,4.20353982300885,25.0,17,2,0,1,1
ACC_2020_02313,2020-10-22 16:09:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,47,121.0,118,0.9752066115702479,9.0,16,3,0,1,1
ACC_2020_01608,2020-10-23 15:17:00,0015a,Maribor HC,Both,Minor,Single vehicle accident,No,56,109.0,344,3.1559633027522938,17.0,15,4,0,0,1
ACC_2020_01005,2020-10-24 01:54:00,0015a,Maribor HC,Direction A,Minor,Multi-vehicle accident,No,39,85.0,33,0.38823529411764707,6.0,1,5,1,0,1
ACC_2020_00650,2020-10-24 08:09:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,53,121.0,154,1.2727272727272727,9.0,8,5,1,1,1
ACC_2020_00734,2020-10-24 17:55:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,50,78.0,220,2.8205128205128207,5.0,17,5,1,1,1
ACC_2020_01901,2020-10-25 18:34:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,39,118.0,208,1.7627118644067796,26.0,18,6,1,1,1
ACC_2020_02489,2020-10-26 09:11:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,Yes,42,86.0,102,1.186046511627907,11.0,9,0,0,1,1
ACC_2020_01674,2020-10-26 14:54:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,44,116.0,99,0.853448275862069,6.0,14,0,0,0,1
ACC_2020_00782,2020-10-26 23:47:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,47,116.0,69,0.5948275862068966,13.0,23,0,0,0,1
ACC_2020_00379,2020-10-28 07:53:00,0015a,Maribor HC,Both,Minor,Side collision,No,53,103.0,485,4.70873786407767,7.0,7,2,0,1,1
ACC_2020_01890,2020-10-28 14:21:00,0015b,Maribor HC,Both,Minor,Rear-end collision,Yes,43,89.0,237,2.662921348314607,21.0,14,2,0,0,1
ACC_2020_01432,2020-10-29 02:11:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,57,110.0,89,0.8090909090909091,11.0,2,3,0,0,1
ACC_2020_00426,2020-10-29 18:11:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,42,88.0,333,3.784090909090909,11.0,18,3,0,1,1
ACC_2020_01933,2020-10-30 08:09:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,60,125.0,118,0.944,9.0,8,4,0,1,1
ACC_2020_01010,2020-11-01 20:47:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,25,95.0,208,2.1894736842105265,13.0,20,6,1,0,1
ACC_2020_00285,2020-11-02 17:34:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,46,82.0,521,6.353658536585366,26.0,17,0,0,1,1
ACC_2020_02301,2020-11-05 17:40:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,36,95.0,70,0.7368421052631579,20.0,17,3,0,1,1
ACC_2020_00990,2020-11-06 09:55:00,0015a,Maribor HC,Direction A,Minor,Rear-end collision,No,56,104.0,78,0.75,5.0,9,4,0,1,1
ACC_2020_02133,2020-11-12 09:32:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,41,96.0,174,1.8125,28.0,9,3,0,1,1
ACC_2020_00839,2020-11-12 14:31:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,41,118.0,36,0.3050847457627119,29.0,14,3,0,0,1
ACC_2020_02149,2020-11-14 09:33:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,31,115.0,417,3.626086956521739,27.0,9,5,1,1,1
ACC_2020_01662,2020-11-15 09:27:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,34,89.0,254,2.853932584269663,27.0,9,6,1,1,1
ACC_2020_02469,2020-11-15 14:12:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,38,82.0,130,1.5853658536585367,12.0,14,6,1,0,1
ACC_2020_01547,2020-11-15 17:58:00,0015a,Maribor HC,Direction B,Minor,Single vehicle accident,No,32,78.0,370,4.743589743589744,2.0,17,6,1,1,1
ACC_2020_00957,2020-11-19 09:21:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,40,98.0,230,2.3469387755102042,21.0,9,3,0,1,1
ACC_2020_00497,2020-11-21 08:52:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,58,104.0,123,1.1826923076923077,8.0,8,5,1,1,1
ACC_2020_01394,2020-11-22 23:54:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,53,124.0,170,1.3709677419354838,6.0,23,6,1,0,1
ACC_2020_00293,2020-11-23 17:01:00,0015a,Maribor HC,Direction B,Minor,Side collision,No,32,85.0,469,5.517647058823529,1.0,17,0,0,1,1
ACC_2020_01030,2020-11-23 22:49:00,0015a,Maribor HC,Direction B,Minor,Single vehicle accident,No,58,128.0,239,1.8671875,11.0,22,0,0,0,1
ACC_2020_00848,2020-11-24 07:40:00,0016a,Maliska HC,Direction B,Minor,Multi-vehicle accident,No,53,123.0,317,2.5772357723577235,20.0,7,1,0,1,1
ACC_2020_00554,2020-11-24 21:31:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,57,88.0,71,0.8068181818181818,29.0,21,1,0,0,1
ACC_2020_01931,2020-11-25 16:42:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,39,76.0,335,4.407894736842105,18.0,16,2,0,1,1
ACC_2020_01210,2020-11-26 18:38:00,0016a,Maliska HC,Direction A,Minor,Side collision,No,56,93.0,135,1.4516129032258065,22.0,18,3,0,1,1
ACC_2020_01684,2020-11-27 11:50:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,45,109.0,89,0.8165137614678899,10.0,11,4,0,0,1
ACC_2020_00579,2020-11-28 17:32:00,0021,Ljubljana Ring,Direction B,Minor,Multi-vehicle accident,No,26,92.0,409,4.445652173913044,28.0,17,5,1,1,1
ACC_2020_00816,2020-11-30 15:31:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,39,131.0,179,1.366412213740458,29.0,15,0,0,0,1
ACC_2020_02062,2020-11-30 15:35:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,38,131.0,284,2.16793893129771,25.0,15,0,0,0,1
ACC_2020_00835,2020-12-02 15:46:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,46,113.0,193,1.7079646017699115,14.0,15,2,0,0,1
ACC_2020_00553,2020-12-03 09:11:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,Yes,32,115.0,39,0.3391304347826087,11.0,9,3,0,1,1
ACC_2020_01988,2020-12-04 19:40:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,33,103.0,74,0.7184466019417476,20.0,19,4,0,0,1
ACC_2020_01704,2020-12-05 16:59:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,47,76.0,160,2.1052631578947367,1.0,16,5,1,1,1
ACC_2020_00063,2020-12-05 17:08:00,0015a,Maribor HC,Direction B,Major,Multi-vehicle accident,Yes,71,116.0,202,1.7413793103448276,8.0,17,5,1,1,1
ACC_2020_02165,2020-12-05 18:42:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,24,101.0,230,2.277227722772277,18.0,18,5,1,1,1
ACC_2020_01835,2020-12-07 07:38:00,0015a,Maribor HC,Direction B,Minor,Rear-end collision,No,52,122.0,223,1.8278688524590163,22.0,7,0,0,1,1
ACC_2020_00233,2020-12-07 15:10:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,52,88.0,289,3.284090909090909,10.0,15,0,0,0,1
ACC_2020_00148,2020-12-08 02:25:00,0021,Ljubljana Ring,Direction B,Major,Multi-vehicle accident,No,62,108.0,248,2.2962962962962963,25.0,2,1,0,0,1
ACC_2020_02315,2020-12-08 09:43:00,0015b,Maribor HC,Both,Minor,Rear-end collision,Yes,27,137.0,343,2.5036496350364965,17.0,9,1,0,1,1
ACC_2020_02199,2020-12-09 01:54:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,39,121.0,62,0.512396694214876,6.0,1,2,0,0,1
ACC_2020_02441,2020-12-09 15:33:00,0021,Ljubljana Ring,Both,Minor,Multi-vehicle accident,No,53,116.0,284,2.4482758620689653,27.0,15,2,0,0,1
ACC_2020_01268,2020-12-11 17:20:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,52,99.0,49,0.494949494949495,20.0,17,4,0,1,1
ACC_2020_01454,2020-12-14 07:12:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,42,132.0,488,3.696969696969697,12.0,7,0,0,1,1
ACC_2020_00849,2020-12-14 09:46:00,0021,Ljubljana Ring,Both,Minor,Side collision,Yes,42,117.0,321,2.7435897435897436,14.0,9,0,0,1,1
ACC_2020_01502,2020-12-15 09:57:00,0021,Ljubljana Ring,Both,Minor,Single vehicle accident,No,32,72.0,300,4.166666666666667,3.0,9,1,0,1,1
ACC_2020_01670,2020-12-15 17:13:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,42,85.0,163,1.9176470588235295,13.0,17,1,0,1,1
ACC_2020_01700,2020-12-15 18:33:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,58,113.0,59,0.5221238938053098,27.0,18,1,0,1,1
ACC_2020_01927,2020-12-17 16:32:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,56,123.0,310,2.5203252032520327,28.0,16,3,0,1,1
ACC_2020_02278,2020-12-18 14:17:00,0021,Ljubljana Ring,Direction B,Minor,Multi-vehicle accident,No,39,91.0,183,2.010989010989011,17.0,14,4,0,0,1
ACC_2020_01508,2020-12-23 07:12:00,0021,Ljubljana Ring,Both,Minor,Multi-vehicle accident,No,39,97.0,434,4.474226804123711,12.0,7,2,0,1,1
ACC_2020_00096,2020-12-23 07:40:00,0021,Ljubljana Ring,Both,Major,Side collision,No,75,121.0,359,2.9669421487603307,20.0,7,2,0,1,1
ACC_2020_01511,2020-12-23 14:06:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,31,121.0,134,1.1074380165289257,6.0,14,2,0,0,1
ACC_2020_01982,2020-12-25 17:24:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,36,105.0,192,1.8285714285714285,24.0,17,4,0,1,1
ACC_2020_00502,2020-12-26 08:35:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,55,84.0,198,2.357142857142857,25.0,8,5,1,1,1
ACC_2020_01928,2020-12-26 21:32:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,35,133.0,126,0.9473684210526315,28.0,21,5,1,0,1
ACC_2020_01330,2020-12-27 15:08:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,46,78.0,219,2.8076923076923075,8.0,15,6,1,0,1
ACC_2020_01415,2020-12-27 15:38:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,Yes,23,109.0,165,1.5137614678899083,22.0,15,6,1,0,1
ACC_2020_01913,2020-12-27 18:11:00,0016a,Maliska HC,Direction B,Minor,Side collision,No,42,103.0,199,1.9320388349514563,11.0,18,6,1,1,1
ACC_2020_01477,2020-12-28 16:51:00,0015a,Maribor HC,Direction B,Minor,Rear-end collision,No,43,93.0,367,3.946236559139785,9.0,16,0,0,1,1
ACC_2020_00812,2020-12-28 18:40:00,0015a,Maribor HC,Direction B,Minor,Multi-vehicle accident,No,58,124.0,185,1.4919354838709677,20.0,18,0,0,1,1
ACC_2020_00364,2020-12-28 22:56:00,0021,Ljubljana Ring,Both,Minor,Multi-vehicle accident,No,42,118.0,268,2.2711864406779663,4.0,22,0,0,0,1
ACC_2020_02256,2020-12-28 23:44:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,50,127.0,121,0.952755905511811,16.0,23,0,0,0,1
ACC_2020_02487,2020-12-29 04:25:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,21,103.0,161,1.5631067961165048,25.0,4,1,0,0,1
ACC_2021_02815,2021-01-01 19:27:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,23,113.0,122,1.079646017699115,27.0,19,4,0,0,1
ACC_2021_05262,2021-01-02 09:25:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,20,80.0,69,0.8625,25.0,9,5,1,1,1
ACC_2021_04386,2021-01-02 15:02:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,43,90.0,35,0.3888888888888889,2.0,15,5,1,0,1
ACC_2021_02767,2021-01-03 08:34:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,50,93.0,369,3.967741935483871,26.0,8,6,1,1,1
ACC_2021_02864,2021-01-03 09:56:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,Yes,29,122.0,172,1.4098360655737705,4.0,9,6,1,1,1
ACC_2021_02629,2021-01-04 03:36:00,0021,Ljubljana Ring,Direction B,Major,Single vehicle accident,No,61,89.0,279,3.134831460674157,24.0,3,0,0,0,1
ACC_2021_05179,2021-01-04 08:39:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,36,84.0,186,2.2142857142857144,21.0,8,0,0,1,1
ACC_2021_04665,2021-01-04 14:28:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,26,96.0,87,0.90625,28.0,14,0,0,0,1
ACC_2021_05019,2021-01-04 15:11:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,No,47,117.0,148,1.264957264957265,11.0,15,0,0,0,1
ACC_2021_02532,2021-01-04 15:39:00,0015a,Maribor HC,Direction A,Major,Rear-end collision,No,85,88.0,117,1.3295454545454546,21.0,15,0,0,0,1
ACC_2021_04571,2021-01-05 16:17:00,0021,Ljubljana Ring,Direction A,Minor,Multi-vehicle accident,No,60,84.0,133,1.5833333333333333,17.0,16,1,0,1,1
ACC_2021_03388,2021-01-07 07:28:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,35,84.0,114,1.3571428571428572,28.0,7,3,0,1,1
ACC_2021_04290,2021-01-07 08:58:00,0015a,Maribor HC,Direction B,Minor,Rear-end collision,No,23,113.0,203,1.7964601769911503,2.0,8,3,0,1,1
ACC_2021_04276,2021-01-09 01:45:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,25,105.0,245,2.3333333333333335,15.0,1,5,1,0,1
ACC_2021_04689,2021-01-10 15:50:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,47,114.0,87,0.7631578947368421,10.0,15,6,1,0,1
ACC_2021_04376,2021-01-11 08:45:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,40,115.0,44,0.3826086956521739,15.0,8,0,0,1,1
ACC_2021_03636,2021-01-12 06:54:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,46,123.0,395,3.2113821138211383,6.0,6,1,0,0,1
ACC_2021_03969,2021-01-12 09:35:00,0021,Ljubljana Ring,Direction B,Minor,Side collision,Yes,50,82.0,294,3.5853658536585367,25.0,9,1,0,1,1
ACC_2021_03760,2021-01-12 15:16:00,0015a,Maribor HC,Both,Minor,Single vehicle accident,No,40,76.0,175,2.3026315789473686,16.0,15,1,0,0,1
ACC_2021_04144,2021-01-14 08:25:00,0015a,Maribor HC,Direction B,Minor,Side collision,Yes,27,93.0,409,4.397849462365591,25.0,8,3,0,1,1
ACC_2021_03778,2021-01-14 16:13:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,Yes,40,125.0,123,0.984,13.0,16,3,0,1,1
ACC_2021_03777,2021-01-16 08:51:00,0015a,Maribor HC,Direction A,Minor,Side collision,No,23,112.0,104,0.9285714285714286,9.0,8,5,1,1,1
ACC_2021_04517,2021-01-17 08:36:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,39,84.0,130,1.5476190476190477,24.0,8,6,1,1,1
ACC_2021_03166,2021-01-19 14:36:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,37,79.0,405,5.1265822784810124,24.0,14,1,0,0,1
ACC_2021_04536,2021-01-19 16:23:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,22,117.0,301,2.572649572649573,23.0,16,1,0,1,1
ACC_2021_04910,2021-01-19 18:04:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,36,123.0,596,4.845528455284553,4.0,18,1,0,1,1
ACC_2021_03879,2021-01-20 08:15:00,0021,Ljubljana Ring,Direction B,Minor,Rear-end collision,No,50,85.0,255,3.0,15.0,8,2,0,1,1
ACC_2021_04482,2021-01-20 08:40:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,41,99.0,146,1.4747474747474747,20.0,8,2,0,1,1
ACC_2021_03134,2021-01-20 16:36:00,0021,Ljubljana Ring,Direction A,Minor,Side collision,No,60,112.0,127,1.1339285714285714,24.0,16,2,0,1,1
ACC_2021_03841,2021-01-23 14:25:00,0021,Ljubljana Ring,Direction B,Minor,Single vehicle accident,No,46,86.0,151,1.755813953488372,25.0,14,5,1,0,1
ACC_2021_02749,2021-01-24 03:48:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,54,112.0,88,0.7857142857142857,12.0,3,6,1,0,1
ACC_2021_03832,2021-01-25 04:13:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,Yes,26,120.0,111,0.925,13.0,4,0,0,0,1
ACC_2021_03803,2021-01-27 08:30:00,0015a,Maribor HC,Both,Minor,Single vehicle accident,No,41,110.0,475,4.318181818181818,30.0,8,2,0,1,1
ACC_2021_03268,2021-01-27 09:11:00,0021,Ljubljana Ring,Both,Minor,Side collision,No,27,118.0,368,3.1186440677966103,11.0,9,2,0,1,1
ACC_2021_03479,2021-01-27 14:46:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,37,109.0,109,1.0,14.0,14,2,0,0,1
ACC_2021_04402,2021-01-28 12:51:00,0021,Ljubljana Ring,Both,Minor,Rear-end collision,No,52,123.0,431,3.5040650406504064,9.0,12,3,0,0,1
ACC_2021_03469,2021-01-29 17:18:00,0015a,Maribor HC,Direction A,Minor,Single vehicle accident,No,33,92.0,117,1.2717391304347827,18.0,17,4,0,1,1
ACC_2021_03848,2021-01-29 18:18:00,0021,Ljubljana Ring,Direction A,Minor,Single vehicle accident,No,26,79.0,78,0.9873417721518988,18.0,18,4,0,1,1
ACC_2021_04110,2021-01-30 18:02:00,0021,Ljubljana Ring,Direction A,Minor,Rear-end collision,No,34,107.0,156,1.4579439252336448,2.0,18,5,1,1,1
