incident_id,date,time,road_code,road_name,km_marker,direction,incident_type,severity,vehicles_involved,clearance_minutes,weather_related,note
ACC_2020_02394,2020-01-02,17:45,0071,Ljubljana-Kranj,42.8,Direction A,Side collision,Minor,2,42,No,Based on Slovenian Police statistics
ACC_2020_02370,2020-01-03,08:07,0091,Novo Mesto-Ljubljana,29.0,Direction A,Single vehicle accident,Minor,1,45,No,Based on Slovenian Police statistics
ACC_2020_00810,2020-01-03,09:26,0071,Ljubljana-Kranj,4.7,Both,Multi-vehicle accident,Minor,3,35,No,Based on Slovenian Police statistics
ACC_2020_00274,2020-01-03,14:23,0061,Maribor-Ptuj,22.4,Direction B,Rear-end collision,Minor,2,26,Yes,Based on Slovenian Police statistics
ACC_2020_02497,2020-01-03,17:01,0021,Ljubljana Ring,1.9,Both,Multi-vehicle accident,Minor,3,29,No,Based on Slovenian Police statistics
ACC_2020_01513,2020-01-03,21:52,0121,Kranj-Bled,41.3,Direction B,Multi-vehicle accident,Minor,3,41,No,Based on Slovenian Police statistics
ACC_2020_01527,2020-01-04,07:52,0031,Koper-Ljubljana,1.8,Both,Rear-end collision,Minor,2,56,Yes,Based on Slovenian Police statistics
ACC_2020_00910,2020-01-04,08:22,0051,Ljubljana-Celje,9.7,Direction B,Single vehicle accident,Minor,1,27,Yes,Based on Slovenian Police statistics
ACC_2020_01909,2020-01-04,09:58,0031,Koper-Ljubljana,10.9,Both,Rear-end collision,Minor,2,33,No,Based on Slovenian Police statistics
ACC_2020_00260,2020-01-04,14:04,0071,Ljubljana-Kranj,3.0,Direction B,Side collision,Minor,2,20,No,Based on Slovenian Police statistics
ACC_2020_02417,2020-01-04,15:35,0051,Ljubljana-Celje,23.3,Direction B,Single vehicle accident,Minor,1,55,No,Based on Slovenian Police statistics
ACC_2020_01201,2020-01-04,19:44,0171,Bled-Austria Border,44.0,Both,Single vehicle accident,Minor,1,24,Yes,Based on Slovenian Police statistics
ACC_2020_01007,2020-01-05,08:43,0091,Novo Mesto-Ljubljana,42.1,Both,Side collision,Minor,2,29,No,Based on Slovenian Police statistics
ACC_2020_00317,2020-01-05,08:55,0051,Ljubljana-Celje,4.5,Direction B,Rear-end collision,Minor,2,28,No,Based on Slovenian Police statistics
ACC_2020_00538,2020-01-05,09:00,0031,Koper-Ljubljana,23.2,Direction B,Side collision,Minor,2,41,No,Based on Slovenian Police statistics
ACC_2020_01187,2020-01-05,09:29,0091,Novo Mesto-Ljubljana,24.3,Direction B,Rear-end collision,Minor,2,53,No,Based on Slovenian Police statistics
ACC_2020_02072,2020-01-05,16:57,0021,Ljubljana Ring,1.4,Both,Side collision,Minor,2,26,Yes,Based on Slovenian Police statistics
ACC_2020_00884,2020-01-05,17:35,0071,Ljubljana-Kranj,32.6,Both,Rear-end collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01178,2020-01-05,18:37,0071,Ljubljana-Kranj,40.9,Direction A,Single vehicle accident,Minor,1,35,No,Based on Slovenian Police statistics
ACC_2020_02269,2020-01-06,05:42,0031,Koper-Ljubljana,5.9,Direction A,Side collision,Minor,2,45,No,Based on Slovenian Police statistics
ACC_2020_01152,2020-01-06,06:29,0015a,Maribor HC,14.2,Direction B,Rear-end collision,Minor,2,40,No,Based on Slovenian Police statistics
ACC_2020_00646,2020-01-06,07:09,0161,Koper Port,6.9,Direction A,Rear-end collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_02207,2020-01-06,14:12,0031,Koper-Ljubljana,34.6,Both,Single vehicle accident,Minor,1,49,No,Based on Slovenian Police statistics
ACC_2020_02036,2020-01-06,15:12,0051,Ljubljana-Celje,14.5,Both,Rear-end collision,Minor,2,25,No,Based on Slovenian Police statistics
ACC_2020_01462,2020-01-06,15:33,0041,Celje-Maribor,33.0,Direction A,Single vehicle accident,Minor,1,60,No,Based on Slovenian Police statistics
ACC_2020_01142,2020-01-06,21:36,0051,Ljubljana-Celje,24.2,Direction B,Side collision,Minor,2,22,Yes,Based on Slovenian Police statistics
ACC_2020_01610,2020-01-07,07:42,0021,Ljubljana Ring,24.0,Both,Single vehicle accident,Minor,1,37,No,Based on Slovenian Police statistics
ACC_2020_01291,2020-01-07,07:48,0051,Ljubljana-Celje,2.1,Direction B,Multi-vehicle accident,Minor,3,26,No,Based on Slovenian Police statistics
ACC_2020_01055,2020-01-07,09:21,0016a,Maliska HC,32.5,Direction A,Side collision,Minor,2,43,No,Based on Slovenian Police statistics
ACC_2020_01073,2020-01-07,17:24,0071,Ljubljana-Kranj,46.7,Both,Single vehicle accident,Minor,1,20,No,Based on Slovenian Police statistics
ACC_2020_00661,2020-01-07,18:24,0051,Ljubljana-Celje,45.9,Direction A,Rear-end collision,Minor,2,53,No,Based on Slovenian Police statistics
ACC_2020_01166,2020-01-07,18:52,0015a,Maribor HC,38.1,Both,Rear-end collision,Minor,2,51,Yes,Based on Slovenian Police statistics
ACC_2020_01448,2020-01-08,07:53,0015a,Maribor HC,24.0,Both,Rear-end collision,Minor,2,30,No,Based on Slovenian Police statistics
ACC_2020_00682,2020-01-08,07:57,0031,Koper-Ljubljana,3.2,Both,Rear-end collision,Minor,2,26,No,Based on Slovenian Police statistics
ACC_2020_02094,2020-01-08,08:05,0021,Ljubljana Ring,46.4,Both,Rear-end collision,Minor,2,48,No,Based on Slovenian Police statistics
ACC_2020_02397,2020-01-08,08:51,0071,Ljubljana-Kranj,6.3,Direction A,Side collision,Minor,2,52,No,Based on Slovenian Police statistics
ACC_2020_01243,2020-01-08,15:05,0171,Bled-Austria Border,19.7,Both,Multi-vehicle accident,Minor,3,54,No,Based on Slovenian Police statistics
ACC_2020_00656,2020-01-08,19:11,0071,Ljubljana-Kranj,40.4,Direction B,Multi-vehicle accident,Minor,3,29,No,Based on Slovenian Police statistics
ACC_2020_02243,2020-01-09,08:02,0021,Ljubljana Ring,39.8,Direction A,Single vehicle accident,Minor,1,59,No,Based on Slovenian Police statistics
ACC_2020_00244,2020-01-09,08:06,0051,Ljubljana-Celje,37.0,Direction A,Rear-end collision,Minor,2,48,No,Based on Slovenian Police statistics
ACC_2020_00461,2020-01-09,08:34,0071,Ljubljana-Kranj,29.3,Both,Single vehicle accident,Minor,1,59,Yes,Based on Slovenian Police statistics
ACC_2020_01068,2020-01-09,08:46,0071,Ljubljana-Kranj,31.7,Both,Side collision,Minor,2,44,No,Based on Slovenian Police statistics
ACC_2020_01956,2020-01-09,09:22,0081,Celje-Velenje,35.2,Direction B,Side collision,Minor,2,53,No,Based on Slovenian Police statistics
ACC_2020_01688,2020-01-09,14:16,0021,Ljubljana Ring,23.2,Direction A,Side collision,Minor,2,49,No,Based on Slovenian Police statistics
ACC_2020_02039,2020-01-09,17:58,0031,Koper-Ljubljana,47.2,Direction B,Single vehicle accident,Minor,1,43,No,Based on Slovenian Police statistics
ACC_2020_02453,2020-01-10,02:25,0021,Ljubljana Ring,44.4,Direction A,Multi-vehicle accident,Minor,3,48,No,Based on Slovenian Police statistics
ACC_2020_02271,2020-01-10,05:17,0071,Ljubljana-Kranj,0.0,Direction A,Rear-end collision,Minor,2,36,No,Based on Slovenian Police statistics
ACC_2020_00577,2020-01-10,07:16,0071,Ljubljana-Kranj,30.9,Both,Single vehicle accident,Minor,1,38,No,Based on Slovenian Police statistics
ACC_2020_01594,2020-01-10,15:31,0071,Ljubljana-Kranj,10.0,Direction A,Single vehicle accident,Minor,1,46,No,Based on Slovenian Police statistics
ACC_2020_00551,2020-01-10,16:49,0021,Ljubljana Ring,26.2,Direction A,Side collision,Minor,2,40,No,Based on Slovenian Police statistics
ACC_2020_02277,2020-01-10,18:10,0171,Bled-Austria Border,18.6,Direction B,Rear-end collision,Minor,2,22,Yes,Based on Slovenian Police statistics
ACC_2020_02495,2020-01-10,19:04,0021,Ljubljana Ring,18.5,Direction A,Single vehicle accident,Minor,1,25,No,Based on Slovenian Police statistics
ACC_2020_01737,2020-01-10,19:51,0051,Ljubljana-Celje,7.3,Direction A,Multi-vehicle accident,Minor,3,25,No,Based on Slovenian Police statistics
ACC_2020_00473,2020-01-10,20:01,0071,Ljubljana-Kranj,27.6,Direction A,Rear-end collision,Minor,2,57,No,Based on Slovenian Police statistics
ACC_2020_01364,2020-01-10,21:08,0041,Celje-Maribor,15.9,Both,Single vehicle accident,Minor,1,49,No,Based on Slovenian Police statistics
ACC_2020_00913,2020-01-11,04:24,0041,Celje-Maribor,22.8,Direction B,Rear-end collision,Minor,2,27,No,Based on Slovenian Police statistics
ACC_2020_00021,2020-01-11,14:37,0041,Celje-Maribor,3.4,Direction A,Rear-end collision,Major,2,64,No,Based on Slovenian Police statistics
ACC_2020_01922,2020-01-11,15:55,0071,Ljubljana-Kranj,5.8,Both,Single vehicle accident,Minor,1,51,No,Based on Slovenian Police statistics
ACC_2020_00060,2020-01-11,18:24,0031,Koper-Ljubljana,26.9,Direction B,Side collision,Major,2,120,No,Based on Slovenian Police statistics
ACC_2020_02463,2020-01-12,07:42,0041,Celje-Maribor,2.3,Both,Rear-end collision,Minor,2,26,No,Based on Slovenian Police statistics
ACC_2020_01144,2020-01-12,09:13,0021,Ljubljana Ring,6.9,Direction B,Rear-end collision,Minor,2,27,No,Based on Slovenian Police statistics
ACC_2020_00576,2020-01-12,14:13,0121,Kranj-Bled,34.9,Both,Rear-end collision,Minor,2,36,No,Based on Slovenian Police statistics
ACC_2020_01668,2020-01-12,15:13,0081,Celje-Velenje,1.0,Direction B,Side collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01672,2020-01-12,16:23,0161,Koper Port,4.5,Direction B,Side collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01869,2020-01-12,17:25,0071,Ljubljana-Kranj,43.0,Direction B,Rear-end collision,Minor,2,27,No,Based on Slovenian Police statistics
ACC_2020_01295,2020-01-12,18:12,0015a,Maribor HC,21.5,Direction B,Single vehicle accident,Minor,1,56,No,Based on Slovenian Police statistics
ACC_2020_01811,2020-01-12,18:24,0041,Celje-Maribor,36.5,Direction A,Rear-end collision,Minor,2,37,No,Based on Slovenian Police statistics
ACC_2020_00445,2020-01-13,07:42,0015a,Maribor HC,49.2,Direction A,Single vehicle accident,Minor,1,37,No,Based on Slovenian Police statistics
ACC_2020_02391,2020-01-13,08:21,0051,Ljubljana-Celje,39.9,Both,Single vehicle accident,Minor,1,43,No,Based on Slovenian Police statistics
ACC_2020_00924,2020-01-13,14:16,0171,Bled-Austria Border,25.6,Both,Side collision,Minor,2,42,No,Based on Slovenian Police statistics
ACC_2020_01472,2020-01-13,16:06,0091,Novo Mesto-Ljubljana,22.8,Both,Single vehicle accident,Minor,1,46,No,Based on Slovenian Police statistics
ACC_2020_00622,2020-01-13,16:09,0031,Koper-Ljubljana,15.5,Both,Single vehicle accident,Minor,1,50,No,Based on Slovenian Police statistics
ACC_2020_00962,2020-01-13,16:21,0041,Celje-Maribor,49.4,Both,Single vehicle accident,Minor,1,54,Yes,Based on Slovenian Police statistics
ACC_2020_00121,2020-01-13,16:58,0015a,Maribor HC,15.1,Both,Side collision,Major,2,101,Yes,Based on Slovenian Police statistics
ACC_2020_01628,2020-01-14,18:48,0021,Ljubljana Ring,4.1,Direction A,Multi-vehicle accident,Minor,3,50,No,Based on Slovenian Police statistics
ACC_2020_01780,2020-01-14,20:36,0011,Bertoki HC,11.7,Direction A,Single vehicle accident,Minor,1,37,No,Based on Slovenian Police statistics
ACC_2020_00764,2020-01-15,09:53,0171,Bled-Austria Border,4.9,Direction B,Side collision,Minor,2,57,Yes,Based on Slovenian Police statistics
ACC_2020_01631,2020-01-15,14:04,0171,Bled-Austria Border,32.7,Both,Side collision,Minor,2,49,No,Based on Slovenian Police statistics
ACC_2020_02446,2020-01-15,15:09,0031,Koper-Ljubljana,41.9,Both,Side collision,Minor,2,50,No,Based on Slovenian Police statistics
ACC_2020_02194,2020-01-15,16:06,0021,Ljubljana Ring,16.7,Direction B,Single vehicle accident,Minor,1,27,No,Based on Slovenian Police statistics
ACC_2020_00529,2020-01-15,16:55,0071,Ljubljana-Kranj,46.7,Both,Multi-vehicle accident,Minor,3,50,No,Based on Slovenian Police statistics
ACC_2020_00930,2020-01-16,09:19,0031,Koper-Ljubljana,41.7,Both,Multi-vehicle accident,Minor,3,20,No,Based on Slovenian Police statistics
ACC_2020_01794,2020-01-16,09:48,0091,Novo Mesto-Ljubljana,9.5,Both,Rear-end collision,Minor,2,60,No,Based on Slovenian Police statistics
ACC_2020_01624,2020-01-16,14:11,0121,Kranj-Bled,21.1,Direction A,Side collision,Minor,2,24,Yes,Based on Slovenian Police statistics
ACC_2020_00002,2020-01-16,14:32,0121,Kranj-Bled,35.1,Both,Multi-vehicle accident,Fatal,3,191,Yes,Based on Slovenian Police statistics
ACC_2020_02283,2020-01-16,15:30,0021,Ljubljana Ring,39.3,Both,Multi-vehicle accident,Minor,3,39,No,Based on Slovenian Police statistics
ACC_2020_01321,2020-01-16,15:38,0031,Koper-Ljubljana,18.5,Direction A,Rear-end collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01705,2020-01-16,16:07,0051,Ljubljana-Celje,29.4,Direction B,Side collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01183,2020-01-16,17:23,0041,Celje-Maribor,31.9,Direction B,Single vehicle accident,Minor,1,25,No,Based on Slovenian Police statistics
ACC_2020_00619,2020-01-16,17:40,0015a,Maribor HC,29.8,Direction A,Side collision,Minor,2,30,No,Based on Slovenian Police statistics
ACC_2020_01494,2020-01-16,18:46,0071,Ljubljana-Kranj,28.7,Direction B,Single vehicle accident,Minor,1,25,Yes,Based on Slovenian Police statistics
ACC_2020_00022,2020-01-17,02:32,0071,Ljubljana-Kranj,46.8,Both,Rear-end collision,Major,2,102,No,Based on Slovenian Police statistics
ACC_2020_00539,2020-01-17,09:03,0051,Ljubljana-Celje,9.1,Direction B,Single vehicle accident,Minor,1,45,Yes,Based on Slovenian Police statistics
ACC_2020_02270,2020-01-17,09:29,0021,Ljubljana Ring,45.1,Both,Single vehicle accident,Minor,1,45,No,Based on Slovenian Police statistics
ACC_2020_01422,2020-01-17,10:50,0021,Ljubljana Ring,3.8,Both,Rear-end collision,Minor,2,38,No,Based on Slovenian Police statistics
ACC_2020_00010,2020-01-17,12:17,0091,Novo Mesto-Ljubljana,32.8,Direction A,Side collision,Fatal,2,236,No,Based on Slovenian Police statistics
ACC_2020_02083,2020-01-17,13:02,0051,Ljubljana-Celje,30.7,Both,Side collision,Minor,2,38,Yes,Based on Slovenian Police statistics
ACC_2020_01044,2020-01-17,14:30,0041,Celje-Maribor,27.5,Direction B,Multi-vehicle accident,Minor,3,37,Yes,Based on Slovenian Police statistics
ACC_2020_00606,2020-01-17,15:21,0051,Ljubljana-Celje,8.1,Direction A,Multi-vehicle accident,Minor,3,23,Yes,Based on Slovenian Police statistics
ACC_2020_02093,2020-01-17,17:53,0031,Koper-Ljubljana,12.7,Both,Side collision,Minor,2,42,No,Based on Slovenian Police statistics
ACC_2020_00513,2020-01-17,17:55,0081,Celje-Velenje,25.9,Both,Rear-end collision,Minor,2,31,No,Based on Slovenian Police statistics
ACC_2020_01744,2020-01-17,20:20,0071,Ljubljana-Kranj,1.9,Direction B,Single vehicle accident,Minor,1,54,No,Based on Slovenian Police statistics
ACC_2020_00541,2020-01-18,08:33,0121,Kranj-Bled,7.9,Direction B,Side collision,Minor,2,33,No,Based on Slovenian Police statistics
ACC_2020_00116,2020-01-18,09:05,0161,Koper Port,10.0,Direction A,Multi-vehicle accident,Major,3,80,No,Based on Slovenian Police statistics
ACC_2020_02350,2020-01-18,09:10,0071,Ljubljana-Kranj,28.3,Direction B,Single vehicle accident,Minor,1,33,No,Based on Slovenian Police statistics
ACC_2020_00433,2020-01-19,07:52,0041,Celje-Maribor,15.2,Both,Single vehicle accident,Minor,1,58,No,Based on Slovenian Police statistics
ACC_2020_00624,2020-01-19,08:00,0021,Ljubljana Ring,23.3,Direction B,Rear-end collision,Minor,2,22,No,Based on Slovenian Police statistics
ACC_2020_01520,2020-01-19,08:07,0081,Celje-Velenje,40.3,Both,Single vehicle accident,Minor,1,44,No,Based on Slovenian Police statistics
ACC_2020_00678,2020-01-19,14:31,0051,Ljubljana-Celje,48.2,Both,Side collision,Minor,2,54,No,Based on Slovenian Police statistics
ACC_2020_01552,2020-01-19,15:44,0041,Celje-Maribor,35.4,Direction B,Side collision,Minor,2,43,No,Based on Slovenian Police statistics
ACC_2020_00761,2020-01-19,15:56,0071,Ljubljana-Kranj,19.5,Both,Side collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_01595,2020-01-19,18:00,0091,Novo Mesto-Ljubljana,44.9,Both,Side collision,Minor,2,25,No,Based on Slovenian Police statistics
ACC_2020_02433,2020-01-19,18:06,0131,Velenje-Maribor,23.2,Both,Single vehicle accident,Minor,1,33,Yes,Based on Slovenian Police statistics
ACC_2020_01039,2020-01-19,19:54,0071,Ljubljana-Kranj,14.9,Direction B,Side collision,Minor,2,42,Yes,Based on Slovenian Police statistics
ACC_2020_00410,2020-01-20,16:00,0071,Ljubljana-Kranj,36.7,Both,Rear-end collision,Minor,2,53,No,Based on Slovenian Police statistics
ACC_2020_01277,2020-01-20,16:12,0031,Koper-Ljubljana,6.8,Direction A,Rear-end collision,Minor,2,60,Yes,Based on Slovenian Police statistics
ACC_2020_00386,2020-01-20,17:09,0015a,Maribor HC,11.9,Both,Side collision,Minor,2,45,Yes,Based on Slovenian Police statistics
ACC_2020_00566,2020-01-20,18:24,0021,Ljubljana Ring,17.4,Direction B,Single vehicle accident,Minor,1,23,No,Based on Slovenian Police statistics
ACC_2020_00478,2020-01-21,10:06,0021,Ljubljana Ring,13.2,Both,Side collision,Minor,2,53,No,Based on Slovenian Police statistics
ACC_2020_00326,2020-01-21,12:32,0091,Novo Mesto-Ljubljana,35.1,Direction B,Single vehicle accident,Minor,1,52,No,Based on Slovenian Police statistics
ACC_2020_01464,2020-01-21,15:07,0041,Celje-Maribor,11.2,Direction B,Side collision,Minor,2,47,No,Based on Slovenian Police statistics
ACC_2020_01929,2020-01-21,15:19,0041,Celje-Maribor,42.8,Both,Single vehicle accident,Minor,1,44,No,Based on Slovenian Police statistics
ACC_2020_01751,2020-01-21,17:05,0021,Ljubljana Ring,4.7,Direction A,Rear-end collision,Minor,2,37,No,Based on Slovenian Police statistics
ACC_2020_00090,2020-01-21,23:20,0021,Ljubljana Ring,41.1,Both,Rear-end collision,Major,2,61,Yes,Based on Slovenian Police statistics
ACC_2020_02327,2020-01-22,03:02,0015a,Maribor HC,24.5,Direction A,Single vehicle accident,Minor,1,55,No,Based on Slovenian Police statistics
ACC_2020_01696,2020-01-22,07:08,0071,Ljubljana-Kranj,21.3,Direction A,Single vehicle accident,Minor,1,56,No,Based on Slovenian Police statistics
ACC_2020_00984,2020-01-22,07:24,0071,Ljubljana-Kranj,30.2,Direction B,Side collision,Minor,2,37,No,Based on Slovenian Police statistics
ACC_2020_00595,2020-01-22,07:33,0161,Koper Port,14.6,Direction A,Rear-end collision,Minor,2,22,No,Based on Slovenian Police statistics
ACC_2020_00568,2020-01-22,09:20,0051,Ljubljana-Celje,37.6,Direction B,Side collision,Minor,2,34,No,Based on Slovenian Police statistics
ACC_2020_00731,2020-01-22,09:53,0071,Ljubljana-Kranj,1.3,Direction A,Side collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_02022,2020-01-22,14:02,0021,Ljubljana Ring,31.2,Direction B,Rear-end collision,Minor,2,34,No,Based on Slovenian Police statistics
ACC_2020_01810,2020-01-22,14:46,0071,Ljubljana-Kranj,9.6,Direction B,Rear-end collision,Minor,2,41,No,Based on Slovenian Police statistics
ACC_2020_00542,2020-01-22,17:33,0041,Celje-Maribor,18.0,Direction A,Single vehicle accident,Minor,1,50,No,Based on Slovenian Police statistics
ACC_2020_02193,2020-01-22,17:54,0091,Novo Mesto-Ljubljana,2.7,Both,Rear-end collision,Minor,2,24,Yes,Based on Slovenian Police statistics
ACC_2020_01798,2020-01-22,18:02,0071,Ljubljana-Kranj,33.1,Direction A,Rear-end collision,Minor,2,49,Yes,Based on Slovenian Police statistics
ACC_2020_00291,2020-01-23,03:01,0071,Ljubljana-Kranj,12.2,Both,Rear-end collision,Minor,2,26,No,Based on Slovenian Police statistics
ACC_2020_00601,2020-01-23,10:36,0071,Ljubljana-Kranj,38.5,Direction A,Rear-end collision,Minor,2,29,No,Based on Slovenian Police statistics
ACC_2020_02103,2020-01-23,10:58,0071,Ljubljana-Kranj,30.2,Both,Single vehicle accident,Minor,1,54,No,Based on Slovenian Police statistics
ACC_2020_00166,2020-01-23,14:28,0015a,Maribor HC,48.3,Direction B,Rear-end collision,Minor,2,48,No,Based on Slovenian Police statistics
ACC_2020_01326,2020-01-23,14:44,0051,Ljubljana-Celje,13.7,Direction B,Rear-end collision,Minor,2,31,No,Based on Slovenian Police statistics
ACC_2020_00692,2020-01-23,16:18,0051,Ljubljana-Celje,2.2,Direction B,Single vehicle accident,Minor,1,36,No,Based on Slovenian Police statistics
ACC_2020_00342,2020-01-23,16:26,0021,Ljubljana Ring,4.8,Both,Rear-end collision,Minor,2,43,No,Based on Slovenian Police statistics
ACC_2020_00005,2020-01-23,17:07,0071,Ljubljana-Kranj,41.5,Direction B,Multi-vehicle accident,Fatal,4,168,Yes,Based on Slovenian Police statistics
ACC_2020_00490,2020-01-23,17:14,0161,Koper Port,17.5,Direction B,Multi-vehicle accident,Minor,3,50,No,Based on Slovenian Police statistics
ACC_2020_01781,2020-01-24,06:52,0071,Ljubljana-Kranj,33.1,Direction A,Single vehicle accident,Minor,1,28,No,Based on Slovenian Police statistics
ACC_2020_00146,2020-01-24,07:00,0071,Ljubljana-Kranj,14.5,Direction B,Rear-end collision,Major,2,120,Yes,Based on Slovenian Police statistics
ACC_2020_00108,2020-01-24,07:18,0171,Bled-Austria Border,34.1,Both,Side collision,Major,2,87,Yes,Based on Slovenian Police statistics
ACC_2020_02146,2020-01-24,09:30,0015a,Maribor HC,9.3,Direction B,Rear-end collision,Minor,2,31,No,Based on Slovenian Police statistics
ACC_2020_02097,2020-01-24,14:26,0021,Ljubljana Ring,18.5,Direction B,Rear-end collision,Minor,2,31,No,Based on Slovenian Police statistics
ACC_2020_00625,2020-01-24,15:01,0041,Celje-Maribor,10.0,Direction B,Rear-end collision,Minor,2,39,No,Based on Slovenian Police statistics
ACC_2020_00412,2020-01-24,15:29,0121,Kranj-Bled,49.8,Both,Side collision,Minor,2,58,No,Based on Slovenian Police statistics
ACC_2020_01897,2020-01-24,15:54,0041,Celje-Maribor,1.8,Direction A,Single vehicle accident,Minor,1,26,No,Based on Slovenian Police statistics
ACC_2020_01287,2020-01-24,17:14,0071,Ljubljana-Kranj,30.5,Both,Rear-end collision,Minor,2,30,No,Based on Slovenian Police statistics
ACC_2020_01613,2020-01-25,08:38,0021,Ljubljana Ring,45.1,Both,Side collision,Minor,2,50,No,Based on Slovenian Police statistics
ACC_2020_01632,2020-01-25,08:44,0051,Ljubljana-Celje,2.0,Direction A,Side collision,Minor,2,31,No,Based on Slovenian Police statistics
ACC_2020_01681,2020-01-25,09:15,0051,Ljubljana-Celje,12.3,Direction B,Side collision,Minor,2,43,No,Based on Slovenian Police statistics
ACC_2020_00313,2020-01-25,18:01,0071,Ljubljana-Kranj,49.6,Direction A,Single vehicle accident,Minor,1,30,No,Based on Slovenian Police statistics
ACC_2020_00422,2020-01-26,09:55,0171,Bled-Austria Border,15.6,Both,Single vehicle accident,Minor,1,38,No,Based on Slovenian Police statistics
ACC_2020_02001,2020-01-26,15:51,0031,Koper-Ljubljana,8.9,Direction B,Single vehicle accident,Minor,1,53,No,Based on Slovenian Police statistics
ACC_2020_02154,2020-01-26,18:02,0015a,Maribor HC,40.3,Both,Rear-end collision,Minor,2,44,No,Based on Slovenian Police statistics
ACC_2020_00374,2020-01-26,18:09,0091,Novo Mesto-Ljubljana,41.2,Direction B,Single vehicle accident,Minor,1,20,No,Based on Slovenian Police statistics
ACC_2020_01961,2020-01-26,18:42,0071,Ljubljana-Kranj,11.8,Both,Side collision,Minor,2,36,Yes,Based on Slovenian Police statistics
ACC_2020_00391,2020-01-26,22:12,0015b,Maribor HC,46.2,Both,Single vehicle accident,Minor,1,49,No,Based on Slovenian Police statistics
ACC_2020_00693,2020-01-27,05:10,0021,Ljubljana Ring,36.1,Direction A,Rear-end collision,Minor,2,51,No,Based on Slovenian Police statistics
ACC_2020_00543,2020-01-27,06:07,0031,Koper-Ljubljana,39.7,Direction A,Single vehicle accident,Minor,1,47,No,Based on Slovenian Police statistics
ACC_2020_00144,2020-01-27,07:43,0031,Koper-Ljubljana,30.4,Direction B,Single vehicle accident,Major,1,88,No,Based on Slovenian Police statistics
ACC_2020_00790,2020-01-27,09:40,0121,Kranj-Bled,15.3,Both,Rear-end collision,Minor,2,28,Yes,Based on Slovenian Police statistics
ACC_2020_02494,2020-01-27,11:27,0051,Ljubljana-Celje,32.4,Direction B,Single vehicle accident,Minor,1,24,No,Based on Slovenian Police statistics
ACC_2020_00602,2020-01-27,15:46,0031,Koper-Ljubljana,44.9,Direction A,Rear-end collision,Minor,2,48,No,Based on Slovenian Police statistics
ACC_2020_00037,2020-01-27,17:53,0031,Koper-Ljubljana,49.0,Both,Rear-end collision,Major,2,60,No,Based on Slovenian Police statistics
ACC_2020_01314,2020-01-27,18:27,0015a,Maribor HC,28.0,Direction A,Rear-end collision,Minor,2,40,No,Based on Slovenian Police statistics
ACC_2020_00578,2020-01-28,07:04,0081,Celje-Velenje,1.0,Direction A,Side collision,Minor,2,37,No,Based on Slovenian Police statistics
